path,N,method,duration,objective,fairness,min,max,mean,std
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,RC,50.7332,130231,maxmin,0,93,45.9,45.9942
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,BS,252.17,118852,maxmin,45,46,45.9,0.307794
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,GA,120632,114571,maxmin,42,48,45.9,1.44732
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,DC ,27.545,117066,maxmin,0,89,42.7,42.6208
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,RC,29.5028,116019,maxmin,0,89,42.7,42.6208
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,BS,141.679,107131,maxmin,42,43,42.7,0.470162
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,GA,125023,105044,maxmin,0,89,42.7,34.8018
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,DC ,49.1289,129032,maxmin,0,99,46.15,46.348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,RC,51.1691,132865,maxmin,0,99,46.15,46.348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,BS,230.896,122978,maxmin,46,47,46.15,0.366348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,GA,143281,120870,maxmin,0,99,46.15,46.348
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,DC ,27.453,184735,gini,0,89,42.7,42.6208
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,RC,29.4046,185732,gini,0,89,42.7,42.6208
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,BS,142.754,109753,gini,42,43,42.7,0.470162
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,GA,77772.2,107021,gini,41,45,42.7,1.45458
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,DC ,27.5033,177028,gini,0,89,42.9,42.9564
