path,N,k,bw1,bw2,duration,objective
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,6,5,5,445727,97660.1
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,2,10,5,592262,107376
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,4,5,10,604601,106633
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,2,5,10,630241,108054
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,6,5,10,645748,105212
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,4,10,5,645768,106374
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,6,10,5,650809,105032
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,2,10,10,685209,110485
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,4,10,10,688275,111764
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,6,10,10,765420,111252
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,2,5,5,368274,92086.4
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,4,5,5,392582,91798.5
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,6,5,5,493711,92864.1
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,2,10,5,600571,101200
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,6,10,5,604551,98143
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,4,10,5,607953,99357.1
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,6,5,10,664577,101452
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,2,5,10,697025,101270
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,4,5,10,710687,100147
"../instances/1000/train/instance17_nreq1000_nveh20_gamma878.txt",1000,6,10,10,721510,104970
